mission_id,object_name,host_name,source_primary_id,ra,dec,koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_model_snr,koi_num_transits,koi_impact,koi_dor,koi_teq,koi_srho,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
KEPLER,Kepler-227 b,,10797460,291.93423,48.141651,CONFIRMED,9.48803557,2.9575,616.0,0.022344,35.8,142.0,0.146,24.81,793.0,3.20796,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648
KEPLER,Kepler-227 c,,10797460,291.93423,48.141651,CONFIRMED,54.4183827,4.507,875.0,0.027954,25.8,25.0,0.586,77.9,443.0,3.02368,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648
KEPLER,K00753.01,,10811496,297.00482,48.134129,CANDIDATE,19.89913995,1.7822,10800.0,0.154046,76.3,56.0,0.969,53.5,638.0,7.29555,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826
KEPLER,K00754.01,,10848459,285.53461,48.28521,FALSE POSITIVE,1.736952453,2.40641,8080.0,0.387394,505.6,621.0,1.276,3.278,1395.0,0.2208,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809
KEPLER,Kepler-664 b,,10854555,288.75488,48.2262,CONFIRMED,2.525591777,1.6545,603.0,0.024064,40.9,515.0,0.701,8.75,1406.0,1.98635,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952
KEPLER,Kepler-228 d,,10872983,296.28613,48.22467,CONFIRMED,11.09432054,4.5945,1520.0,0.036779,66.5,95.0,0.538,16.36,835.0,0.67324,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132
KEPLER,Kepler-228 c,,10872983,296.28613,48.22467,CONFIRMED,4.13443512,3.1402,686.0,0.026133,40.2,240.0,0.762,6.96,1160.0,0.37377,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132
KEPLER,Kepler-228 b,,10872983,296.28613,48.22467,CONFIRMED,2.56658897,2.429,227.0,0.014983,15.0,355.0,0.755,5.54,1360.0,0.48909,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132
KEPLER,K00114.01,,6721123,298.86435,42.151569,FALSE POSITIVE,7.36178958,5.022,234.0,0.183387,47.7,185.0,1.169,2.4,1342.0,0.00485,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396
KEPLER,Kepler-229 c,,10910878,286.99948,48.37579,CONFIRMED,16.06864674,3.5347,4910.0,0.062161,161.9,69.0,0.052,36.85,600.0,3.6659,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785
KEPLER,Kepler-1 b,,11446443,286.80847,49.316399,CONFIRMED,2.470613377,1.74319,14200.0,0.123871,4304.3,432.0,0.818,8.3977,1339.0,1.83538,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846
KEPLER,Kepler-2 b,,10666592,292.24728,47.969521,CONFIRMED,2.204735417,3.88864,6670.0,0.075522,5945.9,611.0,0.224,4.602,2048.0,0.37936,10.463,10.935,10.49,,,9.555,9.344,9.334
KEPLER,Kepler-8 b,,6922244,281.28812,42.45108,CONFIRMED,3.522498429,3.19843,9150.0,0.092086,1741.5,384.0,0.631,7.541,1521.0,0.65374,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293
KEPLER,Kepler-466 c,,10984090,295.64871,48.49556,CONFIRMED,3.709214104,2.6302,131.0,0.010424,50.6,352.0,0.051,10.888,1206.0,1.77451,12.772,13.169,12.74,12.602,12.564,11.698,11.402,11.367
KEPLER,K00742.01,,10419211,297.07993,47.597401,FALSE POSITIVE,11.52144606,3.6399,18000.0,1.625358,622.1,96.0,2.483,20.75,753.0,1.27376,15.472,15.994,15.419,15.249,15.153,14.248,13.831,13.827
KEPLER,K00743.01,,10464078,289.25821,47.635319,FALSE POSITIVE,19.40393776,12.2155,8920.0,0.096729,214.7,71.0,0.804,9.099,523.0,0.03785,15.487,16.229,15.44,15.169,14.985,13.95,13.429,13.287
KEPLER,K00744.01,,10480982,295.81454,47.69035,FALSE POSITIVE,19.22138894,4.79843,74300.0,0.476633,2317.0,55.0,1.065,31.323,698.0,1.57359,15.341,15.798,15.293,15.145,15.053,14.2,13.863,13.727
KEPLER,K00745.01,,10485250,297.15442,47.668701,FALSE POSITIVE,16.46983774,9.4378,10500.0,0.092509,303.4,66.0,0.292,14.05,595.0,0.19353,15.788,16.529,15.724,15.47,15.29,14.176,13.688,13.555
